Model,Accuracy,Features
DecisionTree,0.7937219730941704,"Pclass, Sex, SibSp, Parch"
DecisionTree,0.7937219730941704,"Pclass, Sex, Age, SibSp, Embarked"
DecisionTree,0.7937219730941704,"Sex, Age, Parch, Fare, Embarked"
DecisionTree,0.7892376681614349,"Sex, Age"
DecisionTree,0.7892376681614349,"Sex, Age, SibSp, Parch"
DecisionTree,0.7892376681614349,"Pclass, Sex, Age, SibSp, Fare"
DecisionTree,0.7892376681614349,"Pclass, Sex, Age, SibSp, Parch, Fare"
DecisionTree,0.7847533632286996,"Pclass, Sex, Age, Fare"
DecisionTree,0.7847533632286996,"Sex, Age, Parch, Embarked"
DecisionTree,0.7847533632286996,"Pclass, Sex, Age, SibSp, Parch"
DecisionTree,0.7847533632286996,"Pclass, Sex, Age, Parch, Embarked"
DecisionTree,0.7847533632286996,"Pclass, Sex, Age, SibSp, Parch, Embarked"
DecisionTree,0.7802690582959642,"Sex, Age, Parch"
DecisionTree,0.7802690582959642,"Sex, Age, SibSp, Parch, Embarked"
DecisionTree,0.7757847533632287,"Sex, Age, Parch, Fare"
DecisionTree,0.7713004484304933,"Sex, Age, Fare, Embarked"
DecisionTree,0.7668161434977578,"Sex, Age, Fare"
DecisionTree,0.7623318385650224,"Pclass, Parch"
DecisionTree,0.7623318385650224,"Pclass, Parch, Embarked"
DecisionTree,0.7623318385650224,"Pclass, Age, SibSp, Parch, Fare, Embarked"
DecisionTree,0.757847533632287,"Pclass, Parch, Fare"
DecisionTree,0.757847533632287,"Pclass, Parch, Fare, Embarked"
DecisionTree,0.757847533632287,"Pclass, Age, SibSp, Fare, Embarked"
DecisionTree,0.7533632286995515,"Sex, Age, SibSp, Embarked"
DecisionTree,0.7443946188340808,"Parch, Fare"
DecisionTree,0.7443946188340808,"Pclass, SibSp, Parch, Embarked"
DecisionTree,0.7399103139013453,"Pclass, SibSp"
DecisionTree,0.7399103139013453,"Pclass, Age, Fare"
DecisionTree,0.7399103139013453,"Sex, Age, Embarked"
DecisionTree,0.7399103139013453,"Pclass, Age, Fare, Embarked"
DecisionTree,0.7399103139013453,"Age, SibSp, Parch, Fare"
DecisionTree,0.7354260089686099,"Pclass, Fare"
DecisionTree,0.7354260089686099,"Pclass, SibSp, Embarked"
DecisionTree,0.7354260089686099,"Pclass, Fare, Embarked"
DecisionTree,0.7354260089686099,"Pclass, SibSp, Parch, Fare"
DecisionTree,0.7309417040358744,Fare
DecisionTree,0.7309417040358744,"Pclass, Age, Parch, Fare"
DecisionTree,0.726457399103139,"Pclass, Embarked"
DecisionTree,0.726457399103139,"Pclass, SibSp, Fare"
DecisionTree,0.726457399103139,"Age, SibSp, Fare"
DecisionTree,0.726457399103139,"Parch, Fare, Embarked"
DecisionTree,0.726457399103139,"Pclass, SibSp, Parch, Fare, Embarked"
DecisionTree,0.7219730941704036,"SibSp, Fare"
DecisionTree,0.7219730941704036,"SibSp, Parch, Fare"
DecisionTree,0.7174887892376681,"Fare, Embarked"
DecisionTree,0.7174887892376681,"Pclass, Age, SibSp, Parch, Fare"
DecisionTree,0.7174887892376681,"Pclass, Age, Parch, Fare, Embarked"
DecisionTree,0.7130044843049327,"Pclass, SibSp, Parch"
DecisionTree,0.7130044843049327,"SibSp, Parch, Fare, Embarked"
DecisionTree,0.7085201793721974,"Pclass, SibSp, Fare, Embarked"
DecisionTree,0.7085201793721974,"Age, SibSp, Parch, Fare, Embarked"
DecisionTree,0.7040358744394619,"SibSp, Fare, Embarked"
DecisionTree,0.6995515695067265,"Pclass, Age, Parch, Embarked"
DecisionTree,0.695067264573991,"Age, Fare"
DecisionTree,0.695067264573991,"Age, Parch, Fare"
DecisionTree,0.695067264573991,"Pclass, Age, SibSp, Fare"
DecisionTree,0.695067264573991,"Age, SibSp, Fare, Embarked"
DecisionTree,0.6905829596412556,"Pclass, Age, Parch"
DecisionTree,0.6905829596412556,"SibSp, Parch, Embarked"
DecisionTree,0.6905829596412556,"Pclass, Age, SibSp, Parch, Embarked"
DecisionTree,0.6860986547085202,"Pclass, Age, Embarked"
DecisionTree,0.6816143497757847,"Pclass, Age, SibSp"
DecisionTree,0.6816143497757847,"Pclass, Age, SibSp, Parch"
DecisionTree,0.6771300448430493,Pclass
DecisionTree,0.6771300448430493,"Pclass, Age"
DecisionTree,0.672645739910314,"Age, SibSp, Parch, Embarked"
DecisionTree,0.6681614349775785,Age
DecisionTree,0.6681614349775785,"SibSp, Parch"
DecisionTree,0.6681614349775785,"SibSp, Embarked"
DecisionTree,0.6681614349775785,"Pclass, Age, SibSp, Embarked"
DecisionTree,0.6636771300448431,SibSp
DecisionTree,0.6636771300448431,Embarked
DecisionTree,0.6636771300448431,"Age, SibSp, Parch"
DecisionTree,0.6591928251121076,"Age, Parch"
DecisionTree,0.6591928251121076,"Age, Fare, Embarked"
DecisionTree,0.6502242152466368,Parch
DecisionTree,0.6502242152466368,"Age, SibSp, Embarked"
DecisionTree,0.6502242152466368,"Age, Parch, Fare, Embarked"
DecisionTree,0.6457399103139013,"Age, Embarked"
DecisionTree,0.6457399103139013,"Parch, Embarked"
DecisionTree,0.6457399103139013,"Age, Parch, Embarked"
DecisionTree,0.6412556053811659,"Age, SibSp"
ExtraTrees,0.8475336322869955,"Pclass, Sex, Age, Parch, Fare"
ExtraTrees,0.8430493273542601,"Pclass, Sex, Parch"
ExtraTrees,0.8385650224215246,"Pclass, Sex, Parch, Fare"
ExtraTrees,0.8385650224215246,"Pclass, Sex, Parch, Embarked"
ExtraTrees,0.8385650224215246,"Pclass, Sex, Age, SibSp, Fare"
ExtraTrees,0.8340807174887892,"Sex, Parch, Fare"
ExtraTrees,0.8340807174887892,"Pclass, Sex, Age, SibSp, Parch, Fare"
ExtraTrees,0.8295964125560538,"Sex, Fare"
ExtraTrees,0.8295964125560538,"Pclass, Sex, Age"
ExtraTrees,0.8295964125560538,"Pclass, Sex, Fare"
ExtraTrees,0.8295964125560538,"Sex, Fare, Embarked"
ExtraTrees,0.8295964125560538,"Pclass, Sex, Age, Fare"
ExtraTrees,0.8295964125560538,"Pclass, Sex, Age, SibSp, Fare, Embarked"
ExtraTrees,0.8295964125560538,"Pclass, Sex, Age, Parch, Fare, Embarked"
ExtraTrees,0.8251121076233184,"Pclass, Sex, Embarked"
ExtraTrees,0.8251121076233184,"Pclass, Sex, SibSp, Fare"
ExtraTrees,0.8251121076233184,"Pclass, Sex, Fare, Embarked"
ExtraTrees,0.820627802690583,"Pclass, Sex, Age, SibSp"
ExtraTrees,0.820627802690583,"Sex, Age, SibSp, Fare"
ExtraTrees,0.820627802690583,"Pclass, Sex, Age, Parch, Embarked"
ExtraTrees,0.820627802690583,"Pclass, Sex, SibSp, Parch, Fare"
ExtraTrees,0.820627802690583,"Pclass, Sex, Parch, Fare, Embarked"
ExtraTrees,0.820627802690583,"Sex, Age, SibSp, Parch, Fare"
ExtraTrees,0.820627802690583,"Sex, Age, SibSp, Parch, Fare, Embarked"
ExtraTrees,0.8161434977578476,"Sex, SibSp, Parch"
ExtraTrees,0.8161434977578476,"Pclass, Sex, Age, Embarked"
ExtraTrees,0.8161434977578476,"Sex, Parch, Fare, Embarked"
ExtraTrees,0.8161434977578476,"Pclass, Sex, Age, Fare, Embarked"
ExtraTrees,0.8116591928251121,"Sex, SibSp"
ExtraTrees,0.8116591928251121,"Sex, SibSp, Parch, Fare"
ExtraTrees,0.8116591928251121,"Sex, SibSp, Parch, Embarked"
ExtraTrees,0.8071748878923767,"Sex, Parch"
ExtraTrees,0.8071748878923767,"Pclass, Sex, SibSp"
ExtraTrees,0.8071748878923767,"Sex, Age, Fare"
ExtraTrees,0.8071748878923767,"Sex, SibSp, Fare"
ExtraTrees,0.8071748878923767,"Pclass, Sex, Age, SibSp, Parch"
